,ibns_20u,vgs_m1,name,type,time,OK
0,22.764,0.6874992,tran_SchGtKttmmTtVt_29,Sch,Tue Jan 14 13:24:09 2025,True
1,21.82885,0.6857603,tran_SchGtKttmmTtVt_28,Sch,Tue Jan 14 13:24:08 2025,True
2,22.10867,0.686121,tran_SchGtKttmmTtVt_27,Sch,Tue Jan 14 13:24:07 2025,True
3,20.84008,0.6817503,tran_SchGtKttmmTtVt_26,Sch,Tue Jan 14 13:24:06 2025,True
4,21.67187,0.6854283,tran_SchGtKttmmTtVt_25,Sch,Tue Jan 14 13:24:05 2025,True
5,23.03367,0.689859,tran_SchGtKttmmTtVt_24,Sch,Tue Jan 14 13:24:04 2025,True
6,22.36933,0.6848108,tran_SchGtKttmmTtVt_23,Sch,Tue Jan 14 13:24:03 2025,True
7,21.64717,0.6843455,tran_SchGtKttmmTtVt_22,Sch,Tue Jan 14 13:24:02 2025,True
8,21.90275,0.6852399,tran_SchGtKttmmTtVt_21,Sch,Tue Jan 14 13:24:00 2025,True
9,23.70261,0.6901566,tran_SchGtKttmmTtVt_20,Sch,Tue Jan 14 13:23:59 2025,True
10,21.4733,0.6855867,tran_SchGtKttmmTtVt_19,Sch,Tue Jan 14 13:23:58 2025,True
11,22.840439999999997,0.6892409,tran_SchGtKttmmTtVt_18,Sch,Tue Jan 14 13:23:57 2025,True
12,21.2105,0.6840913,tran_SchGtKttmmTtVt_17,Sch,Tue Jan 14 13:23:56 2025,True
13,21.80609,0.6860534,tran_SchGtKttmmTtVt_16,Sch,Tue Jan 14 13:23:55 2025,True
14,21.62867,0.6843541,tran_SchGtKttmmTtVt_15,Sch,Tue Jan 14 13:23:54 2025,True
15,21.50182,0.6839289,tran_SchGtKttmmTtVt_14,Sch,Tue Jan 14 13:23:53 2025,True
16,21.98607,0.6878792,tran_SchGtKttmmTtVt_13,Sch,Tue Jan 14 13:23:52 2025,True
17,22.16639,0.6858439,tran_SchGtKttmmTtVt_12,Sch,Tue Jan 14 13:23:50 2025,True
18,23.53452,0.6893096,tran_SchGtKttmmTtVt_11,Sch,Tue Jan 14 13:23:49 2025,True
19,20.78896,0.680154,tran_SchGtKttmmTtVt_10,Sch,Tue Jan 14 13:23:48 2025,True
20,19.6279,0.6803532,tran_SchGtKttmmTtVt_9,Sch,Tue Jan 14 13:23:47 2025,True
21,21.98336,0.6853802,tran_SchGtKttmmTtVt_8,Sch,Tue Jan 14 13:23:46 2025,True
22,22.20396,0.6883346,tran_SchGtKttmmTtVt_7,Sch,Tue Jan 14 13:23:45 2025,True
23,20.45531,0.6829132,tran_SchGtKttmmTtVt_6,Sch,Tue Jan 14 13:23:44 2025,True
24,23.3123,0.6892577,tran_SchGtKttmmTtVt_5,Sch,Tue Jan 14 13:23:43 2025,True
25,21.64961,0.6860916,tran_SchGtKttmmTtVt_4,Sch,Tue Jan 14 13:23:42 2025,True
26,22.247700000000002,0.6859217,tran_SchGtKttmmTtVt_3,Sch,Tue Jan 14 13:23:41 2025,True
27,21.54206,0.6838168,tran_SchGtKttmmTtVt_2,Sch,Tue Jan 14 13:23:40 2025,True
28,20.85785,0.6826136,tran_SchGtKttmmTtVt_1,Sch,Tue Jan 14 13:23:39 2025,True
29,22.00901,0.6875094,tran_SchGtKttmmTtVt,Sch,Tue Jan 14 13:23:38 2025,True
